validatorName,validatorAddress,validatorAddressCompact,website,declaredFee,payoutType,payoutSchedule,minPayoutNim,minPayoutKind,notes,sourceUrl,sourceQuote,checkedAt,confidence,observedMinNim,observedP5Nim,observedSampleSize,observedCheckedAt,observedSource
NimiqCafe Staking,NQ83 4MVH 53Q4 AL3B Q097 55GJ LUQ3 GSF0 85B7,NQ834MVH53Q4AL3BQ09755GJLUQ3GSF085B7,https://nimiq.cafe,0.03,restake,Every 1 minute,10,fixed,"Registry says “low payout threshold” without a number. Railway 2026-08-05: min=10.00 p5≈10.30, 0% below 10 → inferred fixed 10 NIM floor from observed reward outflows.",chain:reward-outflows,observed min=10.00 NIM / p5≈10.30 NIM (Railway index 2026-08-05),2026-08-05,medium,10.0,10.3007,65475,2026-08-05,railway:/data/steakout.sqlite reward outflows
NimiqHub Staking,NQ05 U1RF QJNH JCS1 RDQX 4M3Y 60KR K6CN 5LKC,NQ05U1RFQJNHJCS1RDQX4M3Y60KRK6CN5LKC,https://nimiqhub.com,0.05,restake,Every minute,,unknown,"No FAQ min. Railway: min≈95 p5≈96, only 2 distinct recipients — high observed floor but shape may not be multi-staker payouts; do not promote to fixed without operator source.",,,2026-08-05,low,95.0003,95.8891,34430,2026-08-05,railway:/data/steakout.sqlite reward outflows
NimiqPocket,NQ02 31N6 3KM5 T6G5 22TN EPF5 5XPY RLHK RMB3,NQ0231N63KM5T6G522TNEPF55XPYRLHKRMB3,https://nimiqpocket.com,0.01,restake,Payouts over 10 NIM are instant when NimiqPocket is elected .,10,fixed,"Site + registry schedule. Railway: p5≈10.03, rare dust below 10 — chain confirms.",https://nimiqpocket.com,Min Payout 10 NIM,2026-08-05,high,3.9812,10.0308,192059,2026-08-05,railway:/data/steakout.sqlite reward outflows
Nova Pool,NQ85 EA0M YF3E P9AX SM2C 58KX GD0B SXJE K2PJ,NQ85EA0MYF3EP9AXSM2C58KXGD0BSXJEK2PJ,https://www.nimiqnovapool.com,0.05,restake,,10,fixed,Wayback Apr 2025 FAQ. Live DNS dead; pool closure ~Mar 2025. No Railway outflows indexed.,https://web.archive.org/web/20250401154657/https://www.nimiqnovapool.com/,Minimum Payout is 10 Nim...,2026-08-05,high,,,,,
ObsidianStake,NQ15 5JNS U7CE RAH5 3T02 F8A9 JCT6 QMG9 7TSV,NQ155JNSU7CERAH53T02F8A9JCT6QMG97TSV,https://obsidianstake.com,0.05,direct,Every 12 hours,,none,"FAQ only min stake 100 NIM. Railway/local: min≈0.007 p5≈0.12, many sub-1 payments → effective none floor (Inferred).",,,2026-08-05,medium,0.0073,0.117,9125,2026-08-05,railway:/data/steakout.sqlite reward outflows
Private Whalidator,NQ60 GH2T VEA2 CUR5 SXAD QU9B 7ELD YMG5 5T7U,NQ60GH2TVEA2CUR5SXADQU9B7ELDYMG55T7U,,,unknown,,,not_applicable,Registry payoutType none / fee null — no rewards paid,,,2026-08-05,medium,,,,,
Ritvars Staking,NQ08 LMAK 00XK YYN9 CDXV ADVG CL0U HUBM J670,NQ08LMAK00XKYYN9CDXVADVGCL0UHUBMJ670,https://r-staking.com,0.02,restake,Every 12 hours,,none,"No FAQ min. Railway: min≈0 p5≈0.05, ~20% <1 NIM → low/none floor (Inferred).",,,2026-08-05,medium,0.0,0.0508,10194,2026-08-05,railway:/data/steakout.sqlite reward outflows
Siam Pool,NQ38 VK34 DRBL S3CN M9KM 8UJN 9JY2 2KFN VQQH,NQ38VK34DRBLS3CNM9KM8UJN9JY22KFNVQQH,https://siampool.co,0.03,restake,Every 3 hours,1,fixed,"FAQ: 1 NIM. Railway: p5≈1.07, ~0% below 1 — chain confirms.",https://www.siampool.co/faq,The minimum payout from Siam Pool is 1 NIM...,2026-08-05,high,0.8448,1.066,110188,2026-08-05,railway:/data/steakout.sqlite reward outflows
Synapse LN - Nimiq,NQ24 8V0E L24U TGQ6 KAGA 0KGY SR4F GVV1 SXNA,NQ248V0EL24UTGQ6KAGA0KGYSR4FGVV1SXNA,,0.01,restake,,,unknown,No website. Railway: n=4 only — insufficient for inference.,,,2026-08-05,low,75.2857,206.6,4,2026-08-05,railway:/data/steakout.sqlite reward outflows
Techbits Validator,NQ12 M1PJ QH7K DNAC JREU 0LD0 M4YS TQKA 751B,NQ12M1PJQH7KDNACJREU0LD0M4YSTQKA751B,,0.01,direct,,,unknown,No website in registry; not found on public web/forum,,,2026-08-05,low,,,,,
nim.re Staking Pool,NQ44 V95C ABVY RARR SBMC V8VE M6UH EJP0 RXYQ,NQ44V95CABVYRARRSBMCV8VEM6UHEJP0RXYQ,https://nim.re/pool,0.0333,restake,Every 12 hours,,none,"No FAQ min. Railway: min≈0.01 p5≈0.018, ~27% <1 NIM → low/none floor (Inferred).",,,2026-08-05,medium,0.0103,0.0179,19038,2026-08-05,railway:/data/steakout.sqlite reward outflows
